,MelSpectrogram,emotion
10,"[[-33.961826 -33.961826 -33.52702  ... -27.523901 -27.639833 -27.639833]
 [-39.152153 -39.152153 -38.296867 ... -33.093765 -32.5504   -32.5504  ]
 [-37.433197 -37.433197 -38.113884 ... -38.01423  -36.350876 -36.350876]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
11,"[[-33.961826 -33.961826 -33.52702  ... -27.523901 -27.639833 -27.639833]
 [-39.152153 -39.152153 -38.296867 ... -33.093765 -32.5504   -32.5504  ]
 [-37.433197 -37.433197 -38.113884 ... -38.01423  -36.350876 -36.350876]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
12,"[[-33.961826 -33.961826 -33.52702  ... -27.523901 -27.639833 -27.639833]
 [-39.152153 -39.152153 -38.296867 ... -33.093765 -32.5504   -32.5504  ]
 [-37.433197 -37.433197 -38.113884 ... -38.01423  -36.350876 -36.350876]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
13,"[[-27.725262 -27.725262 -27.725262 ... -33.804672 -33.804672 -33.804672]
 [-33.9983   -33.9983   -33.9983   ... -37.27276  -37.27276  -37.27276 ]
 [-31.994246 -31.994246 -31.994246 ... -50.255043 -50.255043 -50.255043]
 ...
 [-75.776184 -75.776184 -75.776184 ... -75.70854  -75.70854  -75.70854 ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
14,"[[-31.37817779 -31.37817779 -31.18703455 ... -26.12181859 -26.446001
  -26.446001  ]
 [-37.04772991 -37.04772991 -36.43245671 ... -42.02147228 -43.25806352
  -43.25806352]
 [-34.79131911 -34.79131911 -35.54411114 ... -41.91515965 -42.13259466
  -42.13259466]
 ...
 [-80.         -80.         -80.         ... -78.03807801 -77.62528591
  -77.62528591]
 [-80.         -80.         -80.         ... -78.23772671 -77.86694108
  -77.86694108]
 [-80.         -80.         -80.         ... -78.31553332 -77.96111835
  -77.96111835]]",03
15,"[[-33.173603 -33.173603 -32.99144  ... -40.819656 -40.817535 -40.817535]
 [-41.815777 -41.815777 -41.30129  ... -43.63558  -44.169888 -44.169888]
 [-41.3385   -41.3385   -41.787178 ... -42.298374 -42.161804 -42.161804]
 ...
 [-80.       -80.       -79.70009  ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
16,"[[-33.173603 -33.173603 -32.99144  ... -40.819656 -40.817535 -40.817535]
 [-41.815777 -41.815777 -41.30129  ... -43.63558  -44.169888 -44.169888]
 [-41.3385   -41.3385   -41.787178 ... -42.298374 -42.161804 -42.161804]
 ...
 [-80.       -80.       -79.70009  ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
17,"[[-33.173603 -33.173603 -32.99144  ... -36.91117  -40.817535 -40.817535]
 [-41.815777 -41.815777 -41.30129  ... -39.94269  -44.169888 -44.169888]
 [-41.3385   -41.3385   -41.787178 ... -38.12679  -42.161804 -42.161804]
 ...
 [-80.       -80.       -79.70009  ... -72.34375  -80.       -80.      ]
 [-80.       -80.       -80.       ... -72.34375  -80.       -80.      ]
 [-80.       -80.       -80.       ... -72.34375  -80.       -80.      ]]",03
18,"[[-33.173603 -33.173603 -32.99144  ... -40.820316 -40.818245 -40.818245]
 [-41.81578  -41.81578  -41.301292 ... -43.635406 -44.169693 -44.169693]
 [-41.338505 -41.338505 -41.78718  ... -42.297623 -42.161003 -42.161003]
 ...
 [-80.       -80.       -79.70008  ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
19,"[[-33.47104194 -33.47104194 -33.27303154 ... -41.52872396 -41.89160249
  -41.89160249]
 [-42.37224629 -42.37224629 -41.82697296 ... -46.89962447 -47.61852021
  -47.61852021]
 [-41.56440292 -41.56440292 -42.05459314 ... -49.1120677  -49.42903976
  -49.42903976]
 ...
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]]",03
20,"[[-44.442097 -44.442097 -43.459984 ... -19.011812 -20.332006 -20.332006]
 [-39.940536 -39.940536 -39.99306  ... -23.952578 -23.645056 -23.645056]
 [-43.769188 -43.769188 -44.888935 ... -33.783287 -32.89969  -32.89969 ]
 ...
 [-80.       -80.       -78.95755  ... -79.60604  -80.       -80.      ]
 [-80.       -80.       -79.88283  ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
21,"[[-44.442097 -44.442097 -43.459984 ... -19.011812 -20.332006 -20.332006]
 [-39.940536 -39.940536 -39.99306  ... -23.952578 -23.645056 -23.645056]
 [-43.769188 -43.769188 -44.888935 ... -33.783287 -32.89969  -32.89969 ]
 ...
 [-80.       -80.       -78.95755  ... -79.60604  -80.       -80.      ]
 [-80.       -80.       -79.88283  ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
22,"[[  0.         0.         0.       ... -19.011812 -20.332006 -20.332006]
 [  0.         0.         0.       ... -23.952578 -23.645056 -23.645056]
 [  0.         0.         0.       ... -33.783287 -32.89969  -32.89969 ]
 ...
 [  0.         0.         0.       ... -79.60604  -80.       -80.      ]
 [  0.         0.         0.       ... -80.       -80.       -80.      ]
 [  0.         0.         0.       ... -80.       -80.       -80.      ]]",03
23,"[[-31.665417 -31.665417 -31.665417 ... -16.966576 -16.966576 -16.966576]
 [-27.925892 -27.925892 -27.925892 ... -16.450945 -16.450945 -16.450945]
 [-33.96409  -33.96409  -33.96409  ... -22.319275 -22.319275 -22.319275]
 ...
 [-63.61278  -63.61278  -63.61278  ... -74.90285  -74.90285  -74.90285 ]
 [-66.831375 -66.831375 -66.831375 ... -79.00279  -79.00279  -79.00279 ]
 [-72.71971  -72.71971  -72.71971  ... -77.97333  -77.97333  -77.97333 ]]",03
24,"[[-44.09590975 -44.09590975 -43.11988191 ... -15.79923211 -16.36193899
  -16.36193899]
 [-39.75300946 -39.75300946 -39.83270716 ... -25.93796251 -27.63620329
  -27.63620329]
 [-43.62708952 -43.62708952 -44.86057794 ... -34.15801757 -34.97443053
  -34.97443053]
 ...
 [-80.         -80.         -80.         ... -71.42231679 -69.23584852
  -69.23584852]
 [-80.         -80.         -80.         ... -71.50391239 -69.338243
  -69.338243  ]
 [-80.         -80.         -80.         ... -71.56596189 -69.41610904
  -69.41610904]]",03
25,"[[-36.89611  -36.89611  -36.01552  ... -31.333761 -31.300425 -31.300425]
 [-37.836258 -37.836258 -38.529034 ... -35.94353  -34.518143 -34.518143]
 [-43.938175 -43.938175 -44.185356 ... -43.033524 -40.161358 -40.161358]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
26,"[[-36.89611  -36.89611  -36.01552  ... -31.333761 -31.300425 -31.300425]
 [-37.836258 -37.836258 -38.529034 ... -35.94353  -34.518143 -34.518143]
 [-43.938175 -43.938175 -44.185356 ... -43.033524 -40.161358 -40.161358]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
27,"[[-36.89611  -36.89611  -36.01552  ... -31.333761 -31.300425 -31.300425]
 [-37.836258 -37.836258 -38.529034 ... -35.94353  -34.518143 -34.518143]
 [-43.938175 -43.938175 -44.185356 ... -43.033524 -40.161358 -40.161358]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
28,"[[-35.439808 -35.08879  -33.393623 ... -34.778736 -35.541656 -35.69964 ]
 [-36.2973   -36.48464  -37.38936  ... -44.63437  -49.418896 -50.40963 ]
 [-42.175293 -42.25747  -42.654335 ... -44.632935 -46.48888  -46.87319 ]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
29,"[[-37.19401908 -37.19401908 -36.23068689 ... -34.84587029 -33.05205286
  -33.05205286]
 [-37.85648274 -37.85648274 -38.4539578  ... -40.89665691 -40.46179486
  -40.46179486]
 [-44.97869696 -44.97869696 -45.22636053 ... -42.25780834 -40.46165867
  -40.46165867]
 ...
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]]",03
30,"[[-37.93402  -37.93402  -37.58935  ... -34.157253 -34.356316 -34.356316]
 [-43.021805 -43.021805 -42.322334 ... -40.015892 -39.760475 -39.760475]
 [-41.69667  -41.69667  -42.10584  ... -41.458706 -40.83483  -40.83483 ]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
31,"[[-37.93402  -37.93402  -37.58935  ... -34.157253 -34.356316 -34.356316]
 [-43.021805 -43.021805 -42.322334 ... -40.015892 -39.760475 -39.760475]
 [-41.69667  -41.69667  -42.10584  ... -41.458706 -40.83483  -40.83483 ]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
32,"[[-37.93402  -37.93402  -37.58935  ... -34.157253 -34.356316 -34.356316]
 [-43.021805 -43.021805 -42.322334 ... -40.015892 -39.760475 -39.760475]
 [-41.69667  -41.69667  -42.10584  ... -41.458706 -40.83483  -40.83483 ]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
33,"[[-35.710426 -35.64165  -35.008915 ... -29.818674 -29.096703 -29.018227]
 [-40.4283   -40.288513 -39.00249  ... -44.566498 -46.76303  -47.001785]
 [-38.909748 -39.04809  -40.320877 ... -45.17356  -46.556175 -46.70646 ]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
34,"[[-36.44647036 -36.44647036 -36.06475998 ... -31.84479504 -31.15248068
  -31.15248068]
 [-41.37612558 -41.37612558 -40.68905566 ... -41.9962429  -42.00117835
  -42.00117835]
 [-40.21779301 -40.21779301 -40.67207358 ... -46.74932442 -46.67382676
  -46.67382676]
 ...
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]]",03
35,"[[-52.31006  -52.31006  -49.203846 ... -31.97914  -32.363434 -32.363434]
 [-49.17073  -49.17073  -47.00437  ... -44.925697 -45.16475  -45.16475 ]
 [-48.152496 -48.152496 -47.13847  ... -47.026016 -44.65645  -44.65645 ]
 ...
 [-79.888405 -79.888405 -78.224335 ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
36,"[[-52.31006  -52.31006  -49.203846 ... -31.97914  -32.363434 -32.363434]
 [-49.17073  -49.17073  -47.00437  ... -44.925697 -45.16475  -45.16475 ]
 [-48.152496 -48.152496 -47.13847  ... -47.026016 -44.65645  -44.65645 ]
 ...
 [-79.888405 -79.888405 -78.224335 ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
37,"[[-52.31006  -52.31006  -49.203846 ... -31.97914  -32.363434 -32.363434]
 [-49.17073  -49.17073  -47.00437  ... -44.925697 -45.16475  -45.16475 ]
 [-48.152496 -48.152496 -47.13847  ... -47.026016 -44.65645  -44.65645 ]
 ...
 [-79.888405 -79.888405 -78.224335 ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
38,"[[-40.548157 -40.548157 -40.548157 ... -25.683945 -25.683945 -25.683945]
 [-38.60432  -38.60432  -38.60432  ... -38.691216 -38.691216 -38.691216]
 [-45.798077 -45.798077 -45.798077 ... -48.97031  -48.97031  -48.97031 ]
 ...
 [-62.721195 -62.721195 -62.721195 ... -80.       -80.       -80.      ]
 [-71.295166 -71.295166 -71.295166 ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
39,"[[-50.05199529 -50.05199529 -46.56997001 ... -41.38483468 -41.96849286
  -41.96849286]
 [-47.58744669 -47.58744669 -45.25596603 ... -47.41216356 -48.38038029
  -48.38038029]
 [-46.05871026 -46.05871026 -45.20070815 ... -54.73552412 -55.38892585
  -55.38892585]
 ...
 [-77.30974006 -77.30974006 -75.68708635 ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]]",03
40,"[[-37.521187 -37.521187 -37.440323 ... -44.613205 -44.902008 -44.902008]
 [-44.322975 -44.322975 -43.90577  ... -55.974182 -57.175556 -57.175556]
 [-45.269386 -45.269386 -45.53544  ... -53.775658 -54.526268 -54.526268]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
41,"[[-37.521187 -37.521187 -37.440323 ... -44.613205 -44.902008 -44.902008]
 [-44.322975 -44.322975 -43.90577  ... -55.974182 -57.175556 -57.175556]
 [-45.269386 -45.269386 -45.53544  ... -53.775658 -54.526268 -54.526268]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
42,"[[-37.521187 -37.521187 -37.440323 ... -44.613205 -44.902008 -44.902008]
 [-44.322975 -44.322975 -43.90577  ... -55.974182 -57.175556 -57.175556]
 [-45.269386 -45.269386 -45.53544  ... -53.775658 -54.526268 -54.526268]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
43,"[[-24.036758 -24.036758 -24.036758 ... -24.99109  -24.99109  -24.99109 ]
 [-29.636118 -29.636118 -29.636118 ... -38.967964 -38.967964 -38.967964]
 [-33.081734 -33.081734 -33.081734 ... -38.51783  -38.51783  -38.51783 ]
 ...
 [-70.29656  -70.29656  -70.29656  ... -63.83532  -63.83532  -63.83532 ]
 [-77.342865 -77.342865 -77.342865 ... -70.98715  -70.98715  -70.98715 ]
 [-80.       -80.       -80.       ... -75.53162  -75.53162  -75.53162 ]]",03
44,"[[-34.33911027 -34.33911027 -34.63192505 ... -41.96678712 -42.70337037
  -42.70337037]
 [-43.80890753 -43.80890753 -43.70594996 ... -51.51704114 -52.38534453
  -52.38534453]
 [-40.40147893 -40.40147893 -40.41490753 ... -56.02835479 -56.9919494
  -56.9919494 ]
 ...
 [-80.         -80.         -80.         ... -79.74417845 -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]]",03
45,"[[-37.3379   -37.3379   -37.710213 ... -40.216095 -43.213577 -43.213577]
 [-47.038635 -47.038635 -46.964584 ... -38.41724  -39.524788 -39.524788]
 [-43.00093  -43.00093  -43.82272  ... -45.940224 -44.904358 -44.904358]
 ...
 [-80.       -80.       -80.       ... -75.71528  -77.57964  -77.57964 ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
46,"[[-37.3379   -37.3379   -37.710213 ... -40.216095 -43.213577 -43.213577]
 [-47.038635 -47.038635 -46.964584 ... -38.41724  -39.524788 -39.524788]
 [-43.00093  -43.00093  -43.82272  ... -45.940224 -44.904358 -44.904358]
 ...
 [-80.       -80.       -80.       ... -75.71528  -77.57964  -77.57964 ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
47,"[[-37.3379   -37.3379   -29.38901  ... -40.216095 -43.213577 -43.213577]
 [-47.038635 -47.038635 -37.02455  ... -38.41724  -39.524788 -39.524788]
 [-43.00093  -43.00093  -33.846436 ... -45.940224 -44.904358 -44.904358]
 ...
 [-80.       -80.       -62.96875  ... -75.71528  -77.57964  -77.57964 ]
 [-80.       -80.       -62.96875  ... -80.       -80.       -80.      ]
 [-80.       -80.       -62.96875  ... -80.       -80.       -80.      ]]",03
48,"[[-27.078808 -27.078808 -27.078808 ... -37.268238 -37.268238 -37.268238]
 [-32.77224  -32.77224  -32.77224  ... -39.646206 -39.646206 -39.646206]
 [-31.641134 -31.641134 -31.641134 ... -47.320396 -47.320396 -47.320396]
 ...
 [-77.10746  -77.10746  -77.10746  ... -64.24385  -64.24385  -64.24385 ]
 [-80.       -80.       -80.       ... -65.31096  -65.31096  -65.31096 ]
 [-80.       -80.       -80.       ... -66.504135 -66.504135 -66.504135]]",03
49,"[[-35.64757    -35.64757    -35.91472621 ... -37.7783963  -39.38913254
  -39.38913254]
 [-51.66720589 -51.66720589 -51.13272657 ... -38.83270624 -37.90651109
  -37.90651109]
 [-43.28802457 -43.28802457 -43.74102931 ... -47.36291399 -47.23840398
  -47.23840398]
 ...
 [-80.         -80.         -78.00706877 ... -78.93197508 -79.85512937
  -79.85512937]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]]",03
50,"[[-33.34552  -33.34552  -32.73671  ... -32.74205  -33.61258  -33.61258 ]
 [-43.5186   -43.5186   -42.52409  ... -37.232777 -37.569176 -37.569176]
 [-38.886436 -38.886436 -39.233494 ... -44.8509   -43.62966  -43.62966 ]
 ...
 [-80.       -80.       -80.       ... -79.8699   -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
51,"[[-33.34552  -33.34552  -32.73671  ... -32.74205  -33.61258  -33.61258 ]
 [-43.5186   -43.5186   -42.52409  ... -37.232777 -37.569176 -37.569176]
 [-38.886436 -38.886436 -39.233494 ... -44.8509   -43.62966  -43.62966 ]
 ...
 [-80.       -80.       -80.       ... -79.8699   -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
52,"[[-33.34552  -33.34552  -32.73671  ... -32.74205  -33.61258  -33.61258 ]
 [-43.5186   -43.5186   -42.52409  ... -37.232777 -37.569176 -37.569176]
 [-38.886436 -38.886436 -39.233494 ... -44.8509   -43.62966  -43.62966 ]
 ...
 [-80.       -80.       -80.       ... -79.8699   -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
53,"[[-29.043396 -29.043396 -29.043396 ... -31.882454 -31.882454 -31.882454]
 [-42.7144   -42.7144   -42.7144   ... -32.02057  -32.02057  -32.02057 ]
 [-37.60662  -37.60662  -37.60662  ... -42.23432  -42.23432  -42.23432 ]
 ...
 [-57.67942  -57.67942  -57.67942  ... -61.435883 -61.435883 -61.435883]
 [-70.21671  -70.21671  -70.21671  ... -68.021515 -68.021515 -68.021515]
 [-74.031784 -74.031784 -74.031784 ... -80.       -80.       -80.      ]]",03
54,"[[-29.11783537 -29.11783537 -29.03842011 ... -35.51813238 -36.08874049
  -36.08874049]
 [-53.67832397 -53.67832397 -52.02034459 ... -36.48471109 -36.86022925
  -36.86022925]
 [-39.13256113 -39.13256113 -39.25802225 ... -38.37513699 -37.49626534
  -37.49626534]
 ...
 [-80.         -80.         -80.         ... -79.91525013 -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]
 [-80.         -80.         -80.         ... -80.         -80.
  -80.        ]]",03
55,"[[-40.660507 -40.650917 -39.826187 ... -39.225906 -42.34541  -42.381683]
 [-39.797714 -39.814472 -41.25559  ... -47.056152 -49.810112 -49.842133]
 [-49.61073  -49.608345 -49.403305 ... -51.59047  -52.82587  -52.840233]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
56,"[[-40.660507 -40.650917 -39.826187 ... -39.225906 -42.34541  -42.381683]
 [-39.797714 -39.814472 -41.25559  ... -47.056152 -49.810112 -49.842133]
 [-49.61073  -49.608345 -49.403305 ... -51.59047  -52.82587  -52.840233]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
57,"[[-40.660507 -40.650917 -39.826187 ... -39.225906 -42.34541  -42.381683]
 [-39.797714 -39.814472 -41.25559  ... -47.056152 -49.810112 -49.842133]
 [-49.61073  -49.608345 -49.403305 ... -51.59047  -52.82587  -52.840233]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
58,"[[-32.69677  -32.69677  -32.69677  ... -27.26859  -27.26859  -27.26859 ]
 [-30.566647 -30.566647 -30.566647 ... -34.505035 -34.505035 -34.505035]
 [-39.83609  -39.83609  -39.83609  ... -39.77088  -39.77088  -39.77088 ]
 ...
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]
 [-80.       -80.       -80.       ... -80.       -80.       -80.      ]]",03
